Product_Id,Product_Name,Product_Category,Product_Price,Product_Currency,EAN,Color,Size,Availability,Internal_ID
76,Silent Iron Monitor Eco,Automotive,892,USD,6.69E+12,DarkCyan,8x10 in,backorder,73
77,Eco Oven Mouse Cooler Touch Wireless Advanced,Laptops & Computers,348,USD,5.69E+12,DarkGoldenRod,Small,out_of_stock,75
78,Premium Charger Bicycle Fan Eco,Sports & Outdoors,769,USD,6.15E+12,Cornsilk,15x20 cm,limited_stock,28
79,Microphone Heater,Toys & Games,200,USD,5.32E+12,Aquamarine,XS,discontinued,85
80,Mixer,Fragrances,490,USD,9.86E+12,DarkOrange,8x10 in,discontinued,8
81,Advanced Thermostat Eco,Smartwatches,329,USD,5.35E+12,Bisque,S,discontinued,26
82,Eco Printer Advanced,Health & Wellness,576,USD,8.81E+12,Thistle,10x10 cm,backorder,29
83,Scanner Drone,Smartwatches,823,USD,8.85E+12,Moccasin,Small,in_stock,95
84,Eco Cooler Treadmill Rechargeable,Laptops & Computers,119,USD,8.88E+12,DarkSlateBlue,50x70 cm,discontinued,81
85,Fan,Health & Wellness,406,USD,8.90E+11,MidnightBlue,Small,pre_order,93
86,Mini Treadmill Dock Compact,Smartwatches,371,USD,9.90E+12,Pink,30x40 cm,in_stock,7
87,Portable Blender Wireless,Cycling,798,USD,7.20E+12,Silver,100x200 mm,limited_stock,92
88,Portable Iron Monitor Premium Pro Eco,Cycling,20,USD,7.30E+12,Thistle,XS,backorder,18
89,Scooter Scale Cooler,Fragrances,765,USD,6.29E+11,Magenta,15x20 cm,pre_order,4
90,Freezer,Home Decor,765,USD,9.68E+12,BlueViolet,XS,in_stock,93
91,Advanced Blender,Office Supplies,517,USD,9.93E+12,Gold,10x10 cm,out_of_stock,25
92,Digital Radio Radio Pro,Fragrances,536,USD,9.74E+12,Green,XS,out_of_stock,9
93,Ultra Kettle,Skincare,650,USD,1.64E+11,Brown,XXL,in_stock,72
94,Silent Lock Thermostat Air Touch,Fishing & Hunting,974,USD,9.23E+12,Turquoise,XS,discontinued,47
95,Iron,Makeup,59,USD,1.54E+12,DarkSlateGray,15x20 cm,in_stock,57
96,Digital Scanner Rechargeable Ultra Prime,Skincare,867,USD,3.82E+12,GhostWhite,Large,discontinued,25
97,Advanced Blender Toaster Camera,Cleaning Supplies,371,USD,5.27E+12,LightSlateGray,15x20 cm,limited_stock,38
98,Automatic Watch Thermostat Clean,Bedding & Bath,320,USD,5.35E+12,LightGray,XS,backorder,31
99,Microphone Treadmill Oven,Beauty & Personal Care,757,USD,1.10E+12,Bisque,8x10 in,backorder,98
100,Premium Powerbank Iron Brush Edge Prime,Smartphones,669,USD,8.99E+12,LavenderBlush,8x10 in,pre_order,99
101,Rechargeable Headphones X Lite 360,Haircare,829,USD,8.43E+12,Khaki,15x20 cm,backorder,47
102,Heater Mixer Shaver,Automotive,459,USD,5.01E+12,PapayaWhip,5x7 in,limited_stock,70
103,Compact Vacuum,Bedding & Bath,298,USD,6.10E+12,FireBrick,S,out_of_stock,22
104,Compact Mixer Freezer Trimmer,Kitchen Appliances,766,USD,5.64E+12,WhiteSmoke,10x10 cm,limited_stock,88
105,Pro Projector Mini Air,Haircare,594,USD,2.19E+12,PaleVioletRed,50x70 cm,limited_stock,85
106,Silent Fan Fast One,Toys & Games,969,USD,4.99E+12,Azure,L,out_of_stock,32
107,Wireless Projector Mini,Camping & Hiking,423,USD,9.06E+12,SeaShell,12x18 in,discontinued,17
108,Rechargeable Treadmill,Team Sports,494,USD,3.02E+12,MediumVioletRed,10x10 cm,limited_stock,70
109,Digital Toaster Scanner Touch,Automotive,729,USD,5.71E+12,GhostWhite,Large,backorder,48
110,Iron Thermostat,Grooming Tools,54,USD,9.10E+12,DarkGreen,Extra Large,discontinued,32
111,Eco Powerbank Digital Ultra,Kitchen Appliances,317,USD,1.48E+12,AliceBlue,Small,pre_order,38
112,Fast Fridge Mouse Monitor Silent,Fitness Equipment,566,USD,5.58E+12,Violet,15x20 cm,out_of_stock,48
113,Smart Mixer Lamp Premium,Sports & Outdoors,721,USD,3.73E+12,HotPink,50x70 cm,out_of_stock,1
114,Premium Powerbank Router Compact Pro Sense,Shoes & Footwear,469,USD,9.99E+12,DarkOrange,100x200 mm,backorder,11
115,Digital Fridge Fan Lamp Compact,Beauty & Personal Care,872,USD,3.48E+11,Cornsilk,S,limited_stock,50
116,Mouse,Automotive,674,USD,8.52E+12,NavajoWhite,15x20 cm,discontinued,21
117,Smart Lamp Prime Ultra,"Accessories (Bags, Hats, Belts)",931,USD,9.60E+12,SkyBlue,5x7 in,backorder,87
118,Portable Watch Go Lite,Books & Stationery,207,USD,2.92E+12,SteelBlue,15x20 cm,in_stock,45
119,Wireless Webcam Trimmer Projector Automatic Advanced Portable,Home Decor,393,USD,8.75E+12,Pink,5x7 in,in_stock,71
120,Ultra Fan Advanced,Home Decor,19,USD,3.03E+12,Tan,12x18 in,limited_stock,72
121,Pro Watch Fridge Ultra Digital,Sports & Outdoors,864,USD,1.82E+12,Gold,XL,pre_order,48
122,Eco Headphones Premium X,Fitness Equipment,349,USD,9.66E+12,SeaShell,15x20 cm,out_of_stock,38
123,Tablet Blender,Cycling,87,USD,9.29E+12,Violet,10x10 cm,pre_order,34
124,Pro Headphones Monitor,Clothing & Apparel,522,USD,6.97E+12,LawnGreen,XS,backorder,90
125,Digital Lamp Blender Drone,Women's Clothing,368,USD,8.73E+11,Maroon,5x7 in,limited_stock,41
126,Smart Scanner Tablet Radio,Smartphones,406,USD,6.62E+11,DarkSlateBlue,Large,discontinued,39
127,Stove Blender Oven,Clothing & Apparel,274,USD,9.16E+11,Red,8x10 in,in_stock,3
128,Pro Clock Brush Pro Wireless,Books & Stationery,823,USD,46957809952,Aqua,XL,limited_stock,48
129,Projector Freezer,"Accessories (Bags, Hats, Belts)",850,USD,4.81E+12,LightGoldenRodYellow,30x40 cm,discontinued,55
130,Fast Scanner Mouse Wireless Air Lite,Women's Clothing,384,USD,6.90E+12,SeaShell,30x40 cm,limited_stock,73
131,Silent Charger Tablet Brush,Fishing & Hunting,459,USD,3.62E+12,DimGray,10x10 cm,pre_order,18
132,Dock,Office Supplies,23,USD,4.59E+12,Thistle,50x70 cm,backorder,18
133,Dock Dock Trimmer,Cleaning Supplies,869,USD,5.54E+12,Lavender,Extra Large,discontinued,66
134,Premium Radio Rechargeable Max Mini,Books & Stationery,66,USD,2.97E+12,OliveDrab,XXL,in_stock,46
135,Smart Tablet Tablet Kettle Mini,Women's Clothing,859,USD,3.31E+12,Aqua,Medium,backorder,77
136,Ultra Mixer Freezer Trimmer Digital Wireless Plus,Headphones & Earbuds,519,USD,8.63E+12,PowderBlue,50x70 cm,discontinued,21
137,Smart Thermostat Camera Watch Smart One,Fishing & Hunting,146,USD,4.59E+12,Thistle,XS,backorder,84
138,Fast Drone Printer Tablet,Laptops & Computers,395,USD,2.31E+12,Cyan,Small,out_of_stock,33
139,Premium Blender Cooker Prime,Headphones & Earbuds,528,USD,1.88E+12,Crimson,L,out_of_stock,70
140,Advanced Freezer Clean,Health & Wellness,959,USD,3.72E+12,PowderBlue,10x10 cm,discontinued,89
141,Automatic Speaker Router Lamp Pro,Skincare,16,USD,2.83E+12,Violet,10x10 cm,limited_stock,40
142,Advanced Mixer Drone Fan Premium,Home Decor,608,USD,4.55E+11,Silver,XL,discontinued,43
143,Wireless Vacuum Cooler,Team Sports,854,USD,2.61E+12,MediumSeaGreen,Large,discontinued,36
144,Smart Router Lamp,Cleaning Supplies,385,USD,4.35E+12,SaddleBrown,10x10 cm,pre_order,69
145,Compact Bicycle Speakerphone Printer Prime 360,Beauty & Personal Care,361,USD,7.35E+12,Chartreuse,Large,in_stock,74
146,Digital Trimmer Clock X Digital Pro,Home Decor,225,USD,2.47E+11,Brown,Medium,pre_order,93
147,Mini Watch Headphones Kettle Max Portable X,Camping & Hiking,881,USD,2.94E+12,DarkBlue,M,in_stock,88
148,Wireless Speaker Keyboard,"Accessories (Bags, Hats, Belts)",848,USD,3.19E+12,Navy,XS,discontinued,51
149,Eco Thermostat Camera Watch,Cleaning Supplies,837,USD,7.46E+12,Linen,50x70 cm,backorder,91
150,Compact Camera One Mini Smart,Sports & Outdoors,709,USD,2.27E+12,HotPink,8x10 in,backorder,55
151,Silent Webcam Scooter,"Accessories (Bags, Hats, Belts)",946,USD,8.14E+12,MidnightBlue,XXL,in_stock,87
152,Drone,Home & Kitchen,355,USD,9.13E+12,DarkBlue,XL,out_of_stock,42
153,Automatic Clock Drone Charger,Toys & Games,357,USD,3.06E+12,PowderBlue,M,pre_order,40
154,Clean Watch Headphones Kettle Air Fast,Fragrances,45,USD,7.04E+12,OrangeRed,10x10 cm,discontinued,24
155,Mini Oven Drone,Sports & Outdoors,432,USD,9.48E+12,MediumTurquoise,M,in_stock,53
156,Portable Grill Tablet Fridge X Air,Bedding & Bath,249,USD,6.27E+12,LightCyan,Small,discontinued,40
157,Clean Thermostat Printer Premium Prime,Headphones & Earbuds,140,USD,9.23E+12,MediumTurquoise,100x200 mm,limited_stock,72
158,Ultra Lamp Clean Edge,Smartwatches,807,USD,9.38E+12,Lavender,Medium,out_of_stock,5
159,Fast Mouse Sense Smart,Skincare,622,USD,9.51E+11,RosyBrown,30x40 cm,backorder,58
160,Oven Scale,Men's Clothing,226,USD,6.13E+12,SandyBrown,XS,backorder,68
161,Rechargeable Cooler Mini Ultra,Makeup,82,USD,7.24E+12,Gray,8x10 in,out_of_stock,21
162,Phone,Haircare,489,USD,2.39E+12,Gainsboro,Small,out_of_stock,87
163,Iron Microphone,Women's Clothing,463,USD,4.69E+12,SaddleBrown,Large,backorder,15
164,Smart Drone Thermostat Headphones Touch Go Eco,Smartphones,505,USD,8.29E+12,Cornsilk,XL,in_stock,30
165,Mini Thermostat Webcam Bicycle,Headphones & Earbuds,891,USD,1.88E+12,DodgerBlue,M,in_stock,25
166,Speaker Iron Grill,Automotive,388,USD,3.24E+12,LavenderBlush,5x7 in,limited_stock,10
167,Automatic Headphones Fast Pro Rechargeable,Laptops & Computers,884,USD,5.83E+12,BlanchedAlmond,S,out_of_stock,60
168,Portable Toaster Scooter Air,Cleaning Supplies,26,USD,2.47E+12,DarkSlateGray,L,pre_order,14
169,Mini Webcam Trimmer Projector Digital Fast,Clothing & Apparel,847,USD,4.34E+12,MediumSpringGreen,12x18 in,out_of_stock,12
170,Toaster Light Monitor,Camping & Hiking,99,USD,6.60E+12,Gainsboro,8x10 in,out_of_stock,82
171,Compact Microphone Treadmill Oven Plus,Cleaning Supplies,435,USD,5.49E+11,MidnightBlue,30x40 cm,discontinued,68
172,Projector Freezer,Laptops & Computers,786,USD,1.08E+12,Gray,15x20 cm,limited_stock,75
173,Ultra Scooter,Smartphones,295,USD,5.98E+12,DarkBlue,S,discontinued,66
174,Premium Watch Grill Compact Ultra 360,Grooming Tools,583,USD,3.33E+12,GreenYellow,100x200 mm,limited_stock,38
175,Ultra Scooter Wireless Clean Touch,Bedding & Bath,884,USD,1.84E+12,WhiteSmoke,8x10 in,in_stock,32
176,Portable Heater Toaster Stove Fast,Home Decor,567,USD,9.95E+12,Fuchsia,L,pre_order,5
177,Smart Powerbank Iron Brush Wireless,Smartphones,488,USD,9.80E+12,Crimson,50x70 cm,pre_order,57
178,Ultra Camera Silent,Grooming Tools,256,USD,4.64E+12,Turquoise,XXL,discontinued,62
179,Pro Light Drone Fast Fast,Automotive,366,USD,3.77E+12,DarkViolet,Medium,limited_stock,94
180,Compact Drone Fast Lite Mini,Office Supplies,731,USD,6.54E+12,MediumTurquoise,50x70 cm,out_of_stock,17
181,Compact Radio,Fishing & Hunting,763,USD,6.49E+12,OrangeRed,XL,backorder,85
182,Smart Router Lamp 360 360 Silent,Grooming Tools,646,USD,1.31E+12,LightSalmon,Medium,backorder,64
183,Fridge Fan Lamp,Camping & Hiking,416,USD,1.25E+12,DarkCyan,30x40 cm,pre_order,45
184,Fan Clock Camera,Fragrances,583,USD,2.56E+12,HotPink,XS,backorder,92
185,Webcam Scooter,Headphones & Earbuds,229,USD,8.59E+12,Olive,15x20 cm,discontinued,57
186,Light Drone,Automotive,113,USD,2.88E+12,ForestGreen,Medium,pre_order,4
187,Automatic Charger Bicycle Cooker Mini Pro,Automotive,720,USD,4.78E+12,DeepPink,L,pre_order,77
188,Premium Blender Air,Sports & Outdoors,351,USD,9.75E+12,Tan,M,out_of_stock,3
189,Smart Scale Prime Air,Office Supplies,305,USD,1.24E+12,BlueViolet,L,out_of_stock,5
190,Monitor Light,Kitchen Appliances,302,USD,6.97E+12,SandyBrown,10x10 cm,backorder,60
191,Microphone Cooler,Cycling,565,USD,3.35E+12,SandyBrown,Large,backorder,11
192,Grill Tablet Fridge,Grooming Tools,326,USD,9.40E+12,OrangeRed,M,discontinued,68
193,Clean Bicycle Wireless Digital Lite,Fishing & Hunting,504,USD,9.44E+12,DarkSlateBlue,100x200 mm,limited_stock,18
194,Automatic Charger Bicycle Fan,Home & Kitchen,677,USD,9.05E+12,BlanchedAlmond,XL,pre_order,98
195,Pro Powerbank Cooker Iron Ultra,Fitness Equipment,991,USD,9.94E+12,OliveDrab,Large,limited_stock,1
196,Digital Scooter Rechargeable Clean Portable,Automotive,414,USD,7.19E+12,MintCream,XS,limited_stock,15
197,Compact Thermostat Microphone Scooter Silent,Books & Stationery,355,USD,3.68E+12,PaleGreen,15x20 cm,pre_order,52
198,Fast Mouse Digital Portable Plus,Home Decor,818,USD,7.42E+12,Salmon,XXL,in_stock,97
199,Automatic Watch Grill,"Accessories (Bags, Hats, Belts)",673,USD,4.89E+12,Teal,Small,pre_order,35
200,Wireless Printer Fan Air Lite Go,Makeup,748,USD,2.75E+12,Tan,5x7 in,out_of_stock,49
201,Pro Brush,Cameras & Accessories,525,USD,8.24E+12,Aqua,Large,discontinued,9
202,Smart Router,Bedding & Bath,742,USD,5.92E+11,LightSteelBlue,XL,discontinued,82
203,Eco Projector,Headphones & Earbuds,380,USD,8.25E+12,PaleVioletRed,S,limited_stock,85
204,Digital Grill Microphone Projector,Grooming Tools,869,USD,3.86E+12,Linen,Large,discontinued,86
205,Silent Mixer Treadmill Touch Smart Advanced,Skincare,318,USD,7.39E+12,WhiteSmoke,30x40 cm,limited_stock,87
206,Clean Radio Rechargeable,Haircare,297,USD,4.12E+12,Moccasin,XL,pre_order,27
207,Compact Clock Lock,Clothing & Apparel,575,USD,7.61E+12,DarkOrchid,M,backorder,76
208,Webcam Projector Oven,Home & Kitchen,998,USD,5.42E+12,NavajoWhite,Extra Large,limited_stock,8
209,Advanced Mouse Lamp 360,Furniture,45,USD,7.86E+12,DarkSlateGray,XS,pre_order,39
210,Automatic Heater Stove Scanner,Cameras & Accessories,622,USD,7.59E+12,DodgerBlue,XS,out_of_stock,23
211,Scooter,Smartwatches,232,USD,6.30E+12,DarkViolet,15x20 cm,backorder,31
212,Eco Camera,Furniture,805,USD,9.64E+12,Gainsboro,Extra Large,limited_stock,60
213,Fast Printer Lock Thermostat Automatic Go Digital,Haircare,938,USD,4.97E+12,Gray,XL,limited_stock,32
214,Automatic Lock Freezer,Smartphones,688,USD,3.27E+12,CornflowerBlue,50x70 cm,pre_order,49
215,Ultra Radio Eco,Kitchen Appliances,698,USD,2.65E+12,DarkMagenta,Small,out_of_stock,20
216,Clean Lock Thermostat,Office Supplies,77,USD,5.54E+12,IndianRed,L,out_of_stock,3
217,Fast Freezer Max,Health & Wellness,136,USD,2.81E+11,DarkOrchid,Medium,backorder,53
218,Mixer Treadmill,Home & Kitchen,680,USD,4.39E+12,Gainsboro,100x200 mm,pre_order,92
219,Thermostat Stove Lamp,Books & Stationery,934,USD,1.80E+12,Tomato,XL,discontinued,29
220,Wireless Dock Eco X Automatic,Camping & Hiking,342,USD,4.89E+12,SkyBlue,XXL,backorder,35
221,Dock Dock Trimmer,Fragrances,449,USD,9.67E+12,Gray,15x20 cm,pre_order,66
222,Silent Grill Grill Scale,Fishing & Hunting,612,USD,7.51E+12,Wheat,Extra Large,in_stock,79
223,Shaver Thermostat,Haircare,422,USD,4.95E+12,DarkMagenta,Small,out_of_stock,51
224,Digital Charger Cooker Thermostat Premium Portable,Shoes & Footwear,939,USD,4.24E+12,DodgerBlue,M,limited_stock,14
225,Premium Camera Keyboard Sense Lite Plus,Shoes & Footwear,224,USD,7.99E+12,DarkTurquoise,XXL,pre_order,46
226,Smart Lock Edge,Kitchen Appliances,44,USD,1.11E+12,ForestGreen,15x20 cm,limited_stock,42
227,Smart Heater Keyboard 360 360,Skincare,931,USD,3.98E+12,DarkOrchid,XXL,discontinued,73
228,Wireless Grill Brush Watch Pro,Books & Stationery,24,USD,2.58E+12,BlanchedAlmond,S,backorder,66
229,Premium Kettle Clean Smart Rechargeable,Smartwatches,467,USD,6.89E+12,DeepSkyBlue,XS,pre_order,64
230,Wireless Headphones Fast Lite Premium,Toys & Games,635,USD,3.70E+12,DarkSlateBlue,50x70 cm,in_stock,88
231,Smart Light Clean,Shoes & Footwear,447,USD,1.00E+12,ForestGreen,8x10 in,limited_stock,1
232,Smart Brush Blender Vacuum,Bedding & Bath,990,USD,7.52E+12,Tomato,50x70 cm,discontinued,76
233,Wireless Heater Monitor Max Clean,Toys & Games,447,USD,6.55E+12,Violet,30x40 cm,in_stock,25
234,Ultra Speakerphone Oven Air,"Accessories (Bags, Hats, Belts)",256,USD,7.72E+11,OldLace,L,in_stock,46
235,Smart Fan Monitor Toaster Advanced One 360,Camping & Hiking,609,USD,4.07E+12,DarkSalmon,50x70 cm,limited_stock,4
236,Wireless Camera Advanced,Fragrances,144,USD,4.37E+12,Bisque,XL,out_of_stock,76
237,Rechargeable Light Webcam Cooker Go,Clothing & Apparel,284,USD,1.74E+12,LimeGreen,XXL,discontinued,12
238,Ultra Oven Go Fast,Health & Wellness,707,USD,4.96E+12,Gold,15x20 cm,discontinued,80
239,Automatic Drone Silent Prime Premium,Clothing & Apparel,176,USD,7.17E+12,CornflowerBlue,Extra Large,pre_order,9
240,Eco Webcam Toaster Fast Prime Mini,Cleaning Supplies,636,USD,3.78E+11,BlanchedAlmond,Small,pre_order,70
241,Speaker Router Lamp,Cameras & Accessories,337,USD,1.26E+12,LightCyan,8x10 in,pre_order,2
242,Pro Scanner Monitor Treadmill,Team Sports,946,USD,7.29E+12,DeepSkyBlue,Large,discontinued,59
243,Portable Camera Edge,Health & Wellness,919,USD,9.37E+12,DeepPink,50x70 cm,out_of_stock,1
244,Projector,Home Decor,585,USD,2.56E+12,LightSeaGreen,M,in_stock,87
245,Rechargeable Watch Headphones Kettle,Men's Clothing,656,USD,5.61E+12,Fuchsia,Extra Large,limited_stock,57
246,Portable Headphones Edge,"Accessories (Bags, Hats, Belts)",442,USD,8.26E+12,SandyBrown,XXL,limited_stock,67
247,Digital Camera Drone Fan Smart Compact Air,Fitness Equipment,806,USD,6.01E+12,BlueViolet,10x10 cm,discontinued,8
248,Digital Projector Wireless Air Edge,Bedding & Bath,429,USD,9.34E+12,LightSkyBlue,L,pre_order,70
249,Smart Fan Lamp Automatic Fast Lite,Camping & Hiking,653,USD,484264721,LawnGreen,8x10 in,pre_order,2
250,Microphone,Men's Clothing,787,USD,8.47E+12,CornflowerBlue,Extra Large,backorder,96
251,Eco Brush Blender Vacuum Automatic Ultra,Home Decor,347,USD,6.84E+11,Chocolate,12x18 in,backorder,83
252,Ultra Clock Lock,Laptops & Computers,931,USD,2.22E+12,DarkSalmon,XL,backorder,76
253,Clean Fan Eco Fast Max,Smartphones,180,USD,2.21E+12,BlueViolet,30x40 cm,backorder,75
254,Fast Fan Go 360,Smartwatches,847,USD,8.94E+12,PapayaWhip,XL,out_of_stock,62
